No,Nama Barang,Brand,Kode Barang,Beginning Stock,Stock In,Stock Out,Current Stock,Ending stock,Minimum Stock
05-Jun-1900,Offline Clinic - Bur Disc Cutting Diamond For Zircon 10mm 945B 104 100 Komet,komet,IMP-BDCM10,3,23,24,2,,1
06-Jun-1900,San-I dental separating disc,San-I,No data,74,500,529,45,,30
07-Jun-1900,Milling Bur D3X0.6 For Zirconia - Cradle A52,Cradle,No data,1,5,3,3,,
08-Jun-1900,Milling Bur D3X1.0 For Zirconia - Cradle A52,Cradle,No data,1,16,13,4,,
09-Jun-1900,Milling Bur D3X2.0 For Zirconia - Cradle A52,Cradle,No data,1,11,9,3,,
10-Jun-1900,Offline Clinic - Connector Bur,No Brand,IMP-CNTBR,5,32,26,11,,
11-Jun-1900,Offline Clinic - Mandril Amplas,No Brand,IMP-MAAP,5,15,14,6,,
12-Jun-1900,Disc PMMA D98x22 A1,No Brand,RMT-141,2,9,9,2,0.00,
13-Jun-1900,Disc PMMA D98x25 A1,No Brand,RMT-142,2,3,3,2,2.00,
14-Jun-1900,Disc PMMA D98x22 A2,No Brand,RMT-143,2,8,8,2,0.00,
15-Jun-1900,Disc PMMA D98x25 A2,No Brand,RMT-144,2,8,8,2,1.29,
16-Jun-1900,Disc PMMA D98x22 A3,No Brand,RMT-145,2,4,3,3,1.67,
17-Jun-1900,Disc PMMA D98x25 A3,No Brand,RMT-146,2,0,0,2,2.00,
18-Jun-1900,Disc PMMA D98x22 OM 1,No Brand,RMT-147,2,7,7,2,2.00,
19-Jun-1900,Disc PMMA D98x25 OM 1,No Brand,RMT-148,2,5,4,3,2.00,
20-Jun-1900,Disc PMMA D98x18 A1,No Brand,No data,1,17,15,3,,
21-Jun-1900,Disc PMMA D98x18 A2,No Brand,No data,1,12,11,2,,
22-Jun-1900,Disc PMMA D98x18 A3,No Brand,No data,1,4,3,2,,
23-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL2,No Brand,No data,1,2,1,2,,
24-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL3,No Brand,No data,1,4,4,1,,
25-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL4,No Brand,No data,2,2,2,2,,
26-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL1,Deprag,No data,2,0,2,0,,
27-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x25 BL1,Deprag,No data,2,0,0,2,,
28-Jun-1900,Azdent Dental Diamond Bur SI-47 For Veneer,Azdent,VNR-213,5,7,11,1,,
29-Jun-1900,Azdent Dental Diamond Bur SI-48 For Veneer,Azdent,VNR-214,5,10,15,0,,
30-Jun-1900,Azdent Dental Diamond Bur SI-45 For Veneer,Azdent,VNR-215,5,7,8,4,,
01-Jul-1900,Silicone Polisher Porcelain And Metal Renfert,mani,IMP-SPPM100,100,0,3,97,,
02-Jul-1900,Connector Mandril,mani,IMP-CNRML,7,5,6,6,,
03-Jul-1900,Offline Clinic - Hex Driver 1.2 OSS,No Brand,IMP-HEDR12,3,6,8,1,,
04-Jul-1900,Offline Clinic - Bur Separating Disk Double Side H 345 220 Horico,Horico,IMP-BSDD220,9,0,5,4,,
05-Jul-1900,Offline Clinic - Milling Bur D1.0X0.4 For PMMA,No Brand,IMP-MBPM1004,3,3,3,3,,
06-Jul-1900,Offline Clinic - Milling Bur D2.0X0.4 For PMMA,No Brand,IMP-MBPM2004,3,2,2,3,,
07-Jul-1900,Offline Clinic - Resin Glaze Liquid 6ml - Shofu,Shofu,IMP-RGLS6,2,8,8,2,,
08-Jul-1900,Offline Clinic - Lab Analog (M) Welldent For OST,Welldent,IMP-LAOM,10,10,7,13,,
09-Jul-1900,Offline Clinic - Fine Bur HP 863 104 012 Flame Long Komet,No Brand,No data,6,15,19,2,,
10-Jul-1900,Offline Clinic - Denture Base Polymers Huge Powder HC - Shade V 1 Kg,No Brand,IMP-HCSV1,0,5,5,0,,
11-Jul-1900,Offline Clinic - Heat Cured Resin for Dentur Base Liquid 1L,No Brand,IMP-HCRL1,0,4,4,0,,
12-Jul-1900,Offline Clinic - Plastik Wrapping 10cmx200cm,No Brand,IMP-PLWP1020,0,2,2,0,,
13-Jul-1900,Offline Clinic - Renfert Lay:Art Style Ceramic Brush - Natural Bristle Size 6 Slim,Renfert,IMP-RLCB6,2,0,0,2,,
14-Jul-1900,Offline Clinic - Renfert Takanishi Ceramic Brush - Synthetic Bristle 1714/2,Renfert,IMP-RTCB17142,2,2,3,1,,
15-Jul-1900,Offline Clinic - Renfert Takanishi Ceramic Brush - Synthetic Bristle 1714/0200,Renfert,IMP-RTCB17140200,2,0,0,2,,
16-Jul-1900,ELEMEN GIGI LOWER L7 W.O5 ANTERIOR,Naperce,RMT-106,22,0,0,22,22.00,
17-Jul-1900,ELEMEN GIGI LOWER L8 B1 ANTERIOR,Naperce,RMT-103,0,16,1,15,8.00,
18-Jul-1900,ELEMEN GIGI LOWER L7 A1 ANTERIOR,Naperce,RMT-134,10,0,1,9,13.00,
19-Jul-1900,ELEMEN GIGI LOWER L10 A1 ANTERIOR,Naperce,No Code,16,0,0,16,,
20-Jul-1900,ELEMEN GIGI LOWER L7 A2 ANTERIOR,Naperce,RMT-070,11,0,2,9,18.00,
21-Jul-1900,ELEMEN GIGI LOWER L8 A2 ANTERIOR,Naperce,RMT-072,5,0,4,1,,
22-Jul-1900,ELEMEN GIGI LOWER L10 A2 ANTERIOR,Naperce,No Code,15,0,0,15,,
23-Jul-1900,ELEMEN GIGI LOWER L7 A3 ANTERIOR,Naperce,RMT-071,10,0,5,5,15.00,
24-Jul-1900,ELEMEN GIGI LOWER L8 A3 ANTERIOR,Naperce,RMT-073,17,0,5,12,11.00,
25-Jul-1900,ELEMEN GIGI LOWER L7 A3.5 ANTERIOR,Naperce,RMT-109,17,0,2,15,5.00,
26-Jul-1900,ELEMEN GIGI LOWER L8 A3.5 ANTERIOR,Naperce,RMT-074,2,14,5,11,9.00,
27-Jul-1900,ELEMEN GIGI LOWER L8 A4 ANTERIOR,Naperce,RMT-075,22,0,2,20,28.00,
28-Jul-1900,ELEMEN GIGI LOWER L8 C3 ANTERIOR,Naperce,RMT-076,27,0,3,24,33.00,
29-Jul-1900,ELEMEN GIGI LOWER L8 C4 ANTERIOR,Naperce,No Code,15,0,0,15,,
30-Jul-1900,ELEMEN GIGI LOWER L8 A1 ANTERIOR,Naperce,No Code,16,0,1,15,,
31-Jul-1900,ELEMEN GIGI LOWER L10 A3 ANTERIOR,Naperce,RMT-077,22,0,2,20,8.00,
01-Aug-1900,ELEMEN GIGI UPPER T6 C4 ANTERIOR,Naperce,No Code,8,0,0,8,,
02-Aug-1900,ELEMEN GIGI UPPER TL6 C3 ANTERIOR,Naperce,No Code,10,0,0,10,,
