No,Nama Barang,Brand,Kode Barang,Beginning Stock,Stock In,Stock Out,Current Stock,Ending stock,Minimum Stock
22-Jan-1900,Disc Zircone GT-G 18 Layer D98x22 A3,Upcera,RMT-035,1,15,14,2,2.00,1
23-Jan-1900,Disc Zircone GT-G 18 Layer D98x22 A2,Upcera,RMT-034,2,8,8,2,1.24,1
24-Jan-1900,Disc Zircone GT-G 18 Layer D98x25 A3,Upcera,RMT-036,0,16,14,2,2.52,1
25-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 C2,Upcera,RMT-030,0,9,7,2,2.00,1
26-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 C2,Upcera,RMT-032,0,7,6,1,1.24,1
27-Jan-1900,Disc Zircone GT-G 18 Layer D98x14 C3,Upcera,RMT-037,0,4,3,1,1.00,1
28-Jan-1900,Disc Zircone GT-G 18 Layer D98x16 C3,Upcera,RMT-038,0,1,0,1,1.00,1
29-Jan-1900,Disc Zircone GT-G 18 Layer D98x18 C3,Upcera,RMT-039,0,2,1,1,1.00,1
30-Jan-1900,Disc Zircone GT-G 18 Layer D98x20 C3,Upcera,RMT-040,0,2,1,1,1.00,1
31-Jan-1900,Disc Zircone GT-G 18 Layer D98x22 C3,Upcera,RMT-041,0,2,1,1,1.52,1
01-Feb-1900,Disc Zircone GT-G 18 Layer D98x25 C3,Upcera,RMT-042,0,3,1,2,2.00,1
02-Feb-1900,Disc Zircone GT-G 18 Layer D98x18 C4,Upcera,RMT-031,0,2,1,1,1.81,1
03-Feb-1900,Disc Zircone GT-G 18 Layer D98x20 C4,Upcera,RMT-033,0,3,2,1,2.38,1
04-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 C4,Upcera,RMT-043,0,2,1,1,1.67,1
05-Feb-1900,Disc Zircone GT-G 18 Layer D98x25 C4,Upcera,RMT-044,0,2,1,1,1.81,1
06-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 C2,Upcera,No data,2,2,3,1,,
07-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 A4,Upcera,No data,2,6,7,1,,
08-Feb-1900,Disc Zircone ST D98x20 W,Upcera,RMT-087,1,8,7,2,3.86,1
09-Feb-1900,Disc Zircone ST D98x30 W,Upcera,No data,2,6,6,2,,
10-Feb-1900,Disc Zircone GT-G 18 Layer D98x18 BL3,Upcera,RMT-137,2,3,4,1,0.29,
11-Feb-1900,Disc Zircone GT-G 18 Layer D98x22 BL3,Upcera,RMT-138,2,1,2,1,1.71,
12-Feb-1900,Disc Zircone GT-G 18 Layer D98x25 BL3,Upcera,RMT-139,2,3,4,1,2.00,
13-Feb-1900,Offline Clinic - Dental Milling Clip Clear For XFAB-Z5 Zirkonia,No Brand,IMP-DMCC,33,570,555,48,,20
14-Feb-1900,Ceramic Glass Layer (HT) VA1,Upcera,RMV-005,20,170,168,22,37.00,10
15-Feb-1900,Ceramic Glass Layer (HT) VBL1,Upcera,RMV-002,5,135,103,37,24.00,10
16-Feb-1900,Ceramic Glass Layer (HT) VBL2,Upcera,RMV-003,15,410,397,28,39.00,10
17-Feb-1900,Ceramic Glass Layer (HT) VBL3,Upcera,RMV-004,5,760,729,36,39.00,10
18-Feb-1900,Ceramic Glass Layer (HT) A2,Upcera,RMV-011,19,20,2,37,37.00,10
19-Feb-1900,Ceramic Glass Layer (HT) A3,Upcera,RMV-013,0,20,1,19,28.00,10
20-Feb-1900,Ceramic Glass Layer (LT) A1,Upcera,RMV-010,0,840,815,25,19.00,10
21-Feb-1900,Ceramic Glass Layer (LT) A2,Upcera,RMV-012,0,240,212,28,27.00,10
22-Feb-1900,Ceramic Glass Layer (LT) A3,Upcera,RMV-014,0,110,65,45,19.00,10
23-Feb-1900,Ceramic Glass Layer (LT) VBL1,Upcera,RMV-006,10,575,532,53,38.00,10
24-Feb-1900,Ceramic Glass Layer (LT) VBL2,Upcera,RMV-007,5,1025,972,58,37.00,10
25-Feb-1900,Ceramic Glass Layer (LT) VBL3,Upcera,RMV-008,10,1955,1911,54,16.00,10
26-Feb-1900,Ceramic Glass Layer (LT) B1,Upcera,RMV-020,30,240,232,38,51.00,
09-Jul-1900,Ceramic Glass Layer (LT) VBL4,Upcera,RMV-024,30,40,34,36,,
28-Feb-1900,Haohua Denture Tools D0.6*50*D4,Haohua,IMP-MBFZ065040,2,19,21,0,,3
01-Mar-1900,Haohua Denture Tools D1.0*50*D4,Haohua,IMP-MBFZ105040,2,11,11,2,,3
02-Mar-1900,Haohua Denture Tools D2.0*50*D4,Haohua,IMP-MBFZ205040,4,12,12,4,,3
03-Mar-1900,Haohua Denture Tools D2.5*50*D6,Haohua,IMP-MBFG255060,1,10,10,1,,3
04-Mar-1900,Haohua Denture Tools MB D2. 0-L8,Haohua,IMP-MBFP208,3,13,16,0,,3
05-Mar-1900,Haohua Denture Tools MB D3. 0-L12,Haohua,IMP-MBFP3012,3,2,5,0,,3
06-Mar-1900,Haohua Denture Tools MF D4R0.5-L20,Haohua,IMP-MBFP400520,4,15,19,0,,3
07-Mar-1900,Milling Bur D6X1.0 for Glass ceramic,Yihua,IMP-MBGC610,3,26,24,5,,3
08-Mar-1900,Milling Bur D6X2.5 for Glass ceramic,Yihua,IMP-MBGC625,3,151,149,5,,3
09-Mar-1900,Milling Bur D6X0.6 for Glass ceramic,Yihua,IMP-MBGC660,3,15,14,4,,3
10-Mar-1900,Milling Bur MB-D1.5-L6 For Pre-milled,Yihua,IMP-MBP156,1,7,5,3,,3
11-Mar-1900,Milling Bur MB-D2.0-L8 For Pre-milled,Yihua,IMP-MBP208,0,72,68,4,,3
12-Mar-1900,Milling Bur MB-D3.0-L12 For Pre-milled,Yihua,IMP-MBP3012,1,16,12,5,,3
13-Mar-1900,Milling Bur MF-3R0.3-L12 For Pre-milled,Yihua,IMP-MBP30312,1,10,7,4,,3
14-Mar-1900,Milling Bur MF-4R0.5-L20 For Pre-milled,Yihua,IMP-MBP40520,0,117,112,5,,3
15-Mar-1900,Haohua Denture Tools D1.0*50*D6,Haohua,IMP-MBFG105060,3,3,6,0,,3
16-Mar-1900,Haohua Denture Tools D0.6*50*D6,Haohua,IMP-MBFG065060,4,0,4,0,,3
17-Mar-1900,Haohua Denture Tools MB D1. 5-L6,Haohua,IMP-MBFP156,7,0,7,0,,3
18-Mar-1900,Haohua Denture Tools MF-3R0.3-L12,Haohua,IMP-MBFP300312,8,8,16,0,,3
19-Mar-1900,Haohua Denture Tools D1.5*50*D4,Haohua,IMP-MBFZ155040,4,3,3,4,,3
20-Mar-1900,Offline Clinic - NR Line 3D Lab Analog 3.1 Single Implant Welldent For DT,Welldent,IMP-NRDASI31,3,135,129,9,,10
21-Mar-1900,Offline Clinic - 3D Lab Analog 3.5 Single Implant Welldent For OST,Welldent,IMP-DASI35,39,1849,1800,88,,20
22-Mar-1900,Offline Clinic - 3D Lab Analog 4.5 Single Implant Welldent For DT,Welldent,IMP-DASI45,30,2485,2515,0,,20
23-Mar-1900,Offline Clinic - 3D Lab Analog 4.5 Single Implant Welldent For OST,Welldent,IMP-DASI45R,0,3604,3540,64,,
24-Mar-1900,Offline Clinic - NR Line Pre-Milled Abutment 4.5 Welldent For DT,Welldent,IMP-NRPMAB45,19,164,175,8,,10
25-Mar-1900,Offline Clinic - Pre-Milled Abutment 3.5 [M] D10 Non-Hex Welldent For OST,Welldent,IMP-PMAB3510N,28,690,643,75,,20
26-Mar-1900,Offline Clinic - Pre-Milled Abutment 3.5 [M] D14 Hex Welldent For OST,Welldent,IMP-PMAB3514H,8,480,480,8,,20
27-Mar-1900,Offline Clinic - Pre-Milled Abutment 4.5 [R] D10 Non-Hex Welldent For OST,Welldent,IMP-PMAB4510N,16,960,906,70,,20
28-Mar-1900,Offline Clinic - Pre-Milled Abutment 4.5 [R] D14 Hex Welldent For OST,Welldent,IMP-PMAB4514H,17,1475,1480,12,,20
29-Mar-1900,Offline Clinic - Pre-Milled Abutment 3.5 [M] D10 Hex Welldent For OST,Welldent,IMP-PMAB3510H,30,984,934,80,,20
30-Mar-1900,Offline Clinic - Pre-Milled Abutment 4.5 [R] D10 Hex Welldent For OST,Welldent,IMP-PMAB4510H,40,3274,3190,124,,20
31-Mar-1900,Offline Clinic - Pre-Milled Abutment 4.5 Non-Hex Welldent For DT,Welldent,IMP-PMABN45,1,255,245,11,,20
01-Apr-1900,Offline Clinic - Pre-Milled Abutment 4.5 Welldent For DT,Welldent,IMP-PMAB45,23,926,939,10,,20
02-Apr-1900,Offline Clinic - Temporary Abutment (M) 4.0 GH1 Hex Welldent For OST,Welldent,IMP-TA4010HW,30,10,30,10,,10
03-Apr-1900,Offline Clinic - Temporary Abutment (R) 4.5 GH1 Hex Welldent For OST,Welldent,IMP-TA4510HW,30,141,148,23,,10
04-Apr-1900,Offline Clinic - 3D Digital Analog For Multi-Unit EL48 Welldent for OST,Welldent,IMP-DAMU48,40,760,762,38,,15
05-Apr-1900,Offline Clinic - 3D Digital Analog For Multi-Angled EL45 Welldent for DT,Welldent,IMP-DAMA45,20,458,464,14,,15
06-Apr-1900,Offline Clinic - 3D Digital Analog For Multi-Unit AF001 MDIM6 For OST,Welldent,IMP-DAMM6,24,1061,972,113,,
07-Apr-1900,Offline Clinic - Multi Temporary Cylinder Screw Polar For OST,Welldent,IMP-MTCS,20,990,909,101,,
08-Apr-1900,Offline Clinic - Ti-Temporary Cylinder Screw 4.8 Welldent for OST,Welldent,IMP-TTCS48,40,949,945,44,,15
09-Apr-1900,Offline Clinic - Ti-Temporary Cylinder Screw 4.5 Welldent for DT,Welldent,IMP-TTCS45,20,435,434,21,,15
10-Apr-1900,Offline Clinic - Lab Analog (R) Welldent For OST,Welldent,IMP-LAOR,8,96,91,13,,
11-Apr-1900,Offline Clinic - Bur Poles Komposite EVE Diacomp Twist Coarse SR204C [Blue],EVE,IMP-EDTC204,4,16,14,6,,2
12-Apr-1900,Offline Clinic - Bur Poles Komposite EVE Diacomp Twist Coarse SR204F [Silver],EVE,IMP-EDTF204,2,9,6,5,,2
13-Apr-1900,Offline Clinic - Bur Poles Komposite EVE Diacomp Twist Medium SR204M [Pink],EVE,IMP-EDTM204,4,40,38,6,,2
